point_id,edge_id,sample_index,latitude,longitude,current_shade,last_1h_fraction,last_2h_fraction,last_4h_fraction,since_dawn_fraction,timestamp,scenario,test_time,season
main_ew_002_0,main_ew_002,0,42.267926,-71.078389,False,0.0,0.0,0.0,0.26666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_1,main_ew_002,1,42.267926,-71.07825425270737,False,0.0,0.0,0.0,0.26666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_2,main_ew_002,2,42.267926,-71.07811950541476,False,0.0,0.0,0.0,0.3333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_3,main_ew_002,3,42.267926,-71.07798475812214,False,0.0,0.0,0.0,0.26666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_4,main_ew_002,4,42.267926,-71.07785001082952,False,0.0,0.0,0.0,0.4,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_5,main_ew_002,5,42.267926,-71.0777152635369,False,0.0,0.0,0.0,0.13333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_6,main_ew_002,6,42.267926,-71.07758051624428,False,0.0,0.0,0.4444444444444444,0.6666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_7,main_ew_002,7,42.267926,-71.07744576895166,False,0.0,0.0,0.0,0.06666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_8,main_ew_002,8,42.267926,-71.07731102165906,True,1.0,1.0,0.7777777777777778,0.8666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_9,main_ew_002,9,42.267926,-71.07717627436642,True,1.0,1.0,0.6666666666666666,0.8,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_10,main_ew_002,10,42.267926,-71.07704152707382,False,0.0,0.0,0.0,0.4,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_11,main_ew_002,11,42.267926,-71.0769067797812,False,0.0,0.0,0.0,0.06666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_12,main_ew_002,12,42.267926,-71.07677203248858,False,0.0,0.0,0.4444444444444444,0.6666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_13,main_ew_002,13,42.267926,-71.07663728519596,False,0.0,0.0,0.4444444444444444,0.6666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_14,main_ew_002,14,42.267926,-71.07650253790334,True,1.0,1.0,1.0,1.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_15,main_ew_002,15,42.267926,-71.07636779061072,False,0.0,0.0,0.0,0.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_16,main_ew_002,16,42.267926,-71.07623304331811,True,1.0,0.6,0.7777777777777778,0.8666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_17,main_ew_002,17,42.267926,-71.07609829602548,False,0.0,0.0,0.0,0.4,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_18,main_ew_002,18,42.267926,-71.07596354873287,False,0.0,0.0,0.0,0.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_19,main_ew_002,19,42.267926,-71.07582880144025,False,0.0,0.0,0.0,0.2,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_20,main_ew_002,20,42.267926,-71.07569405414763,False,0.3333333333333333,0.6,0.7777777777777778,0.8666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_21,main_ew_002,21,42.267926,-71.07555930685503,False,0.0,0.0,0.1111111111111111,0.4666666666666667,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_22,main_ew_002,22,42.267926,-71.07542455956239,True,1.0,1.0,1.0,1.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_23,main_ew_002,23,42.267926,-71.07528981226977,False,0.0,0.0,0.0,0.4,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_24,main_ew_002,24,42.267926,-71.07515506497717,False,0.0,0.0,0.0,0.3333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_25,main_ew_002,25,42.267926,-71.07502031768455,False,0.0,0.0,0.0,0.4,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_26,main_ew_002,26,42.267926,-71.07488557039193,True,1.0,1.0,1.0,1.0,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_27,main_ew_002,27,42.267926,-71.07475082309931,False,0.0,0.0,0.4444444444444444,0.6666666666666666,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_28,main_ew_002,28,42.267926,-71.07461607580669,False,0.0,0.0,0.2222222222222222,0.5333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_29,main_ew_002,29,42.267926,-71.07448132851408,False,0.0,0.2,0.3333333333333333,0.5333333333333333,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
main_ew_002_30,main_ew_002,30,42.267926,-71.07434658122145,True,1.0,1.0,0.7777777777777778,0.8,2024-06-21T12:00:00,Summer Noon,2024-06-21 12:00:00,summer
